,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,1st Block Jayanagar,4,2850.0,4.0,428.0,4,15017.543859649122
1,1st Block Jayanagar,3,1630.0,3.0,194.0,3,11901.840490797545
2,1st Block Jayanagar,3,1875.0,2.0,235.0,3,12533.333333333334
3,1st Block Jayanagar,3,1200.0,2.0,130.0,3,10833.333333333334
4,1st Block Jayanagar,2,1235.0,2.0,148.0,2,11983.805668016194
5,1st Block Jayanagar,4,2750.0,4.0,413.0,4,15018.181818181818
6,1st Block Jayanagar,4,2450.0,4.0,368.0,4,15020.408163265307
8,1st Phase JP Nagar,3,1875.0,3.0,167.0,3,8906.666666666666
9,1st Phase JP Nagar,5,1500.0,5.0,85.0,5,5666.666666666667
10,1st Phase JP Nagar,3,2065.0,4.0,210.0,3,10169.49152542373
12,1st Phase JP Nagar,3,2059.0,3.0,225.0,3,10927.634774162214
13,1st Phase JP Nagar,2,1394.0,2.0,100.0,2,7173.601147776184
14,1st Phase JP Nagar,2,1077.0,2.0,93.0,2,8635.097493036212
15,1st Phase JP Nagar,2,1566.0,2.0,180.0,2,11494.252873563219
16,1st Phase JP Nagar,1,840.0,2.0,50.0,1,5952.380952380952
17,1st Phase JP Nagar,3,1590.0,3.0,131.0,3,8238.993710691824
18,1st Phase JP Nagar,3,2180.0,3.0,210.0,3,9633.02752293578
19,1st Phase JP Nagar,2,1180.0,2.0,88.5,2,7500.0
20,1st Phase JP Nagar,2,1200.0,2.0,86.0,2,7166.666666666667
21,1st Phase JP Nagar,2,1394.0,2.0,85.0,2,6097.5609756097565
22,1st Phase JP Nagar,3,2077.0,3.0,175.0,3,8425.613866153106
24,1st Phase JP Nagar,2,1205.0,2.0,85.0,2,7053.941908713693
26,1st Phase JP Nagar,2,900.0,2.0,75.0,2,8333.333333333334
27,2nd Phase Judicial Layout,3,1450.0,2.0,50.75,3,3500.0
28,2nd Phase Judicial Layout,2,1150.0,2.0,40.25,2,3500.0
29,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,3,3500.0
30,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,3,3500.0
31,2nd Phase Judicial Layout,2,900.0,2.0,41.0,2,4555.555555555556
32,2nd Phase Judicial Layout,3,1681.0,3.0,69.0,3,4104.699583581201
33,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,3,3500.0
34,2nd Phase Judicial Layout,2,1150.0,2.0,40.25,2,3500.0
35,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0,4,14666.666666666666
36,2nd Stage Nagarbhavi,6,3000.0,8.0,451.0,6,15033.333333333334
37,2nd Stage Nagarbhavi,6,2400.0,8.0,450.0,6,18750.0
38,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0,4,14814.814814814816
39,2nd Stage Nagarbhavi,4,1200.0,4.0,225.0,4,18750.0
40,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0,4,15333.333333333334
